ID,Priority,Category,Module,Test Name,Error Type,Error Message,Root Cause,Recommended Fix,Effort (Hours),Status
43,P2,Parser,neural/parser/parser.py,test_split_params_empty_string,AssertionError,Expected [''] got [],Empty string split returns [] instead of [''],Return [''] for empty string split,0.25,Open
44,P2,Parser,neural/parser/parser.py,test_network_with_multiple_inputs,Failed,DID NOT RAISE DSLValidationError,Parser accepts multiple inputs when should reject,Add validation to reject multiple inputs,0.5,Open
45,P2,Parser,neural/parser/parser.py,test_network_with_training_config_zero_epochs,Failed,DID NOT RAISE DSLValidationError,Parser accepts zero epochs when should validate,Add validation for positive epochs,0.5,Open
46,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_kernel_too_large,ShapeMismatchError,Conv2D kernel exceeds input dimensions,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
47,P2,Shape Propagation,neural/shape_propagation/,test_dense_with_4d_input,ShapeMismatchError,Dense expects 2D input got 4D,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
48,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_missing_filters,InvalidParameterError,filters parameter is required,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
49,P2,Shape Propagation,neural/shape_propagation/,test_dense_missing_units,InvalidParameterError,units parameter is required,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
50,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_negative_filters,InvalidParameterError,filters must be positive,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
51,P2,Shape Propagation,neural/shape_propagation/,test_maxpooling2d_pool_size_too_large,ShapeMismatchError,pool_size exceeds input dimensions,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
52,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_negative_stride,InvalidParameterError,stride must be positive,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
53,P2,Shape Propagation,neural/shape_propagation/,test_maxpooling2d_negative_stride,InvalidParameterError,stride must be positive,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
54,P2,Shape Propagation,neural/shape_propagation/,test_invalid_input_shape_empty,InvalidShapeError,Input shape cannot be empty,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
55,P2,Shape Propagation,neural/shape_propagation/,test_invalid_input_shape_negative,InvalidShapeError,Input shape cannot be negative,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
56,P2,Shape Propagation,neural/shape_propagation/,test_missing_layer_type,InvalidParameterError,Layer must have 'type' field,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
57,P2,Shape Propagation,neural/shape_propagation/,test_missing_params,InvalidParameterError,filters parameter is required,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
58,P2,Shape Propagation,neural/shape_propagation/,test_propagate_missing_type_key,InvalidParameterError,Layer must have 'type' field,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
59,P2,Shape Propagation,neural/shape_propagation/,test_propagate_empty_input_shape,InvalidShapeError,Input shape cannot be empty,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
60,P2,Shape Propagation,neural/shape_propagation/,test_propagate_negative_input_dimensions,InvalidShapeError,Input shape cannot be negative,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
61,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_kernel_exceeds_input,ShapeMismatchError,kernel size exceeds input dimensions,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
62,P2,Shape Propagation,neural/shape_propagation/,test_conv2d_invalid_output_dimensions,ShapeMismatchError,kernel size exceeds input dimensions,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
63,P2,Shape Propagation,neural/shape_propagation/,test_dense_higher_dimensional_input,ShapeMismatchError,Dense expects 2D input got 4D,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
64,P2,Shape Propagation,neural/shape_propagation/,test_validate_conv_invalid_dimensions,ShapeMismatchError,Conv needs 4D input got 3D,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
65,P2,Shape Propagation,neural/shape_propagation/,test_validate_conv_kernel_too_large,ShapeMismatchError,Kernel exceeds input dimension,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
66,P2,Shape Propagation,neural/shape_propagation/,test_validate_dense_higher_d_input,ShapeMismatchError,Dense expects 2D input got 4D,Exception raised instead of handled error,Review if test needs pytest.raises(),1,Open
67,P2,Shape Propagation,neural/shape_propagation/,test_detect_activation_anomalies_with_torch,AssertionError,assert False is True,Detection function returns wrong boolean,Debug activation anomaly detection logic,2,Open
68,P2,CLI,neural/cli/cli.py,test_clean_removes_generated_artifacts,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
69,P2,CLI,neural/cli/cli.py,test_clean_no_items,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
70,P2,CLI,neural/cli/cli.py,test_compile_command,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
71,P2,CLI,neural/cli/cli.py,test_compile_pytorch_backend,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
72,P2,CLI,neural/cli/cli.py,test_compile_dry_run,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
73,P2,CLI,neural/cli/cli.py,test_compile_invalid_file,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
74,P2,CLI,neural/cli/cli.py,test_compile_invalid_backend,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
75,P2,CLI,neural/cli/cli.py,test_compile_invalid_syntax,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
76,P2,CLI,neural/cli/cli.py,test_run_command,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
77,P2,CLI,neural/cli/cli.py,test_run_invalid_file,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
78,P2,CLI,neural/cli/cli.py,test_visualize_invalid_file,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
79,P2,CLI,neural/cli/cli.py,test_version_command,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
80,P2,CLI,neural/cli/cli.py,test_debug_invalid_file,AttributeError,module has no attribute 'name',Tests expect 'name' attribute on module,Investigate CLI module structure expectations,1,Open
81,P3,File Operations,neural/code_generation/,test_save_file_invalid_path,FileOperationError,No such file or directory,Directory not created before file write,Add os.makedirs(dirname) before write,0.25,Open
82,P3,File Operations,neural/code_generation/,test_file_handling_errors,FileOperationError,No such file or directory,Directory not created before file write,Add os.makedirs(dirname) before write,0.25,Open
83,P3,File Operations,neural/code_generation/,test_load_file_unsupported_extension,FileOperationError,Unsupported file type,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
84,P3,File Operations,neural/code_generation/,test_load_file_nonexistent,FileOperationError,File does not exist,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
85,P3,Validation,neural/code_generation/,test_generate_code_invalid_model_data_type,InvalidParameterError,Invalid model_data parameter,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
86,P3,Validation,neural/code_generation/,test_generate_code_missing_layers_key,InvalidParameterError,Missing layers key,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
87,P3,Validation,neural/code_generation/,test_generate_code_missing_input_key,InvalidParameterError,Missing input key,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
88,P3,Validation,neural/code_generation/,test_generate_code_invalid_layer_format,InvalidParameterError,Invalid layer format,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
89,P3,Validation,neural/code_generation/,test_generate_code_layer_missing_type,InvalidParameterError,Layer missing type,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
90,P3,Validation,neural/code_generation/,test_generate_code_unsupported_backend,UnsupportedBackendError,Unsupported backend,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
91,P3,Validation,neural/code_generation/,test_multiply_value_zero,InvalidParameterError,multiply must be positive,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
92,P3,Validation,neural/code_generation/,test_multiply_value_negative,InvalidParameterError,multiply must be positive,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
93,P3,Validation,neural/code_generation/,test_multiply_value_non_integer,InvalidParameterError,multiply must be integer,Test validates expected error behavior,No fix needed - working as intended,0,Working As Intended
94,P3,Code Generation,neural/code_generation/,test_generate_pytorch_channels_first,AssertionError,Conv2D not in generated code,Layer not generated in output,Debug layer generation for channels_first,2,Open
95,P3,Code Generation,neural/code_generation/,test_tensorflow_layer_generation[Conv2D],AssertionError,Conv2D params not matching,Layer params not matching expected,Debug TensorFlow Conv2D generation,1,Open
96,P3,Code Generation,neural/code_generation/,test_pytorch_layer_generation[Conv2D],AssertionError,Conv2D not in output,Layer not generated,Debug PyTorch Conv2D generation,1,Open
97,P3,Code Generation,neural/code_generation/,test_pytorch_layer_generation[LSTM],AssertionError,LSTM not in output,Layer not generated,Debug PyTorch LSTM generation,1,Open
98,P3,Code Generation,neural/code_generation/,test_pytorch_layer_generation[BatchNorm],AssertionError,BatchNorm not in output,Layer not generated,Debug PyTorch BatchNorm generation,1,Open
99,P3,Code Generation,neural/code_generation/,test_custom_layer_handling,Failed,DID NOT WARN,Warning not emitted for custom layer,Add UserWarning for custom layers,0.5,Open
100,P3,Code Generation,neural/code_generation/,test_onnx_model_structure,ValidationError,Field 'shape' of 'type' is required,ONNX proto missing required field,Add shape field to ONNX model generation,1,Open
